family,model,pair_case_type,n_predictions,correct_predictions,n_triplets,accuracy
openai,gpt-4o,liberal-only,380,298,190,0.7842105263157895
openai,gpt-4o,conservative-only,302,208,151,0.6887417218543046
openai,gpt-4o,lib-lib,383,219,383,0.5718015665796344
openai,gpt-4o,lib-cons,246,121,246,0.491869918699187
openai,gpt-4o,cons-lib,319,175,319,0.54858934169279
openai,gpt-4o,cons-cons,202,114,202,0.5643564356435643
openai,gpt-4o-mini,liberal-only,380,282,190,0.7421052631578947
openai,gpt-4o-mini,conservative-only,302,190,151,0.6291390728476821
openai,gpt-4o-mini,lib-lib,383,247,383,0.6449086161879896
openai,gpt-4o-mini,lib-cons,246,124,246,0.5040650406504065
openai,gpt-4o-mini,cons-lib,319,202,319,0.6332288401253918
openai,gpt-4o-mini,cons-cons,202,97,202,0.4801980198019802
openai,gpt-5-mini,liberal-only,380,310,190,0.8157894736842105
openai,gpt-5-mini,conservative-only,302,204,151,0.6754966887417219
openai,gpt-5-mini,lib-lib,383,302,383,0.7885117493472585
openai,gpt-5-mini,lib-cons,246,170,246,0.6910569105691057
openai,gpt-5-mini,cons-lib,319,241,319,0.7554858934169278
openai,gpt-5-mini,cons-cons,202,128,202,0.6336633663366337
openai,gpt-5-nano,liberal-only,380,304,190,0.8
openai,gpt-5-nano,conservative-only,302,206,151,0.6821192052980133
openai,gpt-5-nano,lib-lib,383,272,383,0.7101827676240209
openai,gpt-5-nano,lib-cons,246,143,246,0.5813008130081301
openai,gpt-5-nano,cons-lib,319,218,319,0.6833855799373041
openai,gpt-5-nano,cons-cons,202,114,202,0.5643564356435643
openai,gpt-5.2,liberal-only,380,304,190,0.8
openai,gpt-5.2,conservative-only,302,220,151,0.7284768211920529
openai,gpt-5.2,lib-lib,383,274,383,0.7154046997389034
openai,gpt-5.2,lib-cons,246,181,246,0.7357723577235772
openai,gpt-5.2,cons-lib,319,224,319,0.7021943573667712
openai,gpt-5.2,cons-cons,202,138,202,0.6831683168316832
claude,claude-haiku-4-5,liberal-only,380,310,190,0.8157894736842105
claude,claude-haiku-4-5,conservative-only,302,216,151,0.7152317880794702
claude,claude-haiku-4-5,lib-lib,383,302,383,0.7885117493472585
claude,claude-haiku-4-5,lib-cons,246,170,246,0.6910569105691057
claude,claude-haiku-4-5,cons-lib,319,243,319,0.7617554858934169
claude,claude-haiku-4-5,cons-cons,202,126,202,0.6237623762376238
claude,claude-opus-4-6,liberal-only,380,292,190,0.7684210526315789
claude,claude-opus-4-6,conservative-only,302,218,151,0.7218543046357616
claude,claude-opus-4-6,lib-lib,383,282,383,0.7362924281984334
claude,claude-opus-4-6,lib-cons,246,182,246,0.7398373983739838
claude,claude-opus-4-6,cons-lib,319,230,319,0.7210031347962382
claude,claude-opus-4-6,cons-cons,202,144,202,0.7128712871287128
claude,claude-sonnet-4-6,liberal-only,380,300,190,0.7894736842105263
claude,claude-sonnet-4-6,conservative-only,302,222,151,0.7350993377483444
claude,claude-sonnet-4-6,lib-lib,383,286,383,0.7467362924281984
claude,claude-sonnet-4-6,lib-cons,246,189,246,0.7682926829268293
claude,claude-sonnet-4-6,cons-lib,319,235,319,0.7366771159874608
claude,claude-sonnet-4-6,cons-cons,202,143,202,0.7079207920792079
gemini,gemini-2.5-flash,liberal-only,380,328,190,0.8631578947368421
gemini,gemini-2.5-flash,conservative-only,302,228,151,0.7549668874172185
gemini,gemini-2.5-flash,lib-lib,383,298,383,0.7780678851174935
