metadata_source,paper_id,title,published_venue,publication_year,treatment,outcome,sign,context,triplet_key,triplet_uid,ideology_sensitivity,policy_direction,economic_liberal_preferred_sign,economic_conservative_preferred_sign,region_bucket,time_decade,unit_of_analysis,race,gender,age,text_surface_cues_up,text_surface_cues_down,evidence,normalization_warnings,validation_errors
legacy,3593,The Effects of Pensions and Retirement Policies on Retirement in Higher Education,american_economic_review,1991,Early retirement supplements,Observed early retirement behavior,None,"This paper studies retirement decisions of tenured male arts-and-sciences faculty at 26 high-quality private U.S. colleges (COFHE) using employment observed as of December 31, 1975 and retirements during 1973–78, with pension plan details reported in 1979 (and 1989 for simulations). Institutional variation includes mandatory retirement ages (65–70), normal and early-retirement eligibility, pension accruals and early-retirement supplements, and Social Security rules. The authors estimate a structural life-cycle retirement model and use Monte Carlo simulations to predict effects of raising/eliminating mandatory retirement and offering early-retirement incentives.",3593|early retirement supplements|observed early retirement behavior,,,unclear,,,"[""Developed""]","[""1970s"", ""1980s""]","[""personal_household""]",[],"[""male""]","[""65_plus""]","[""raising""]",[],"{""ideology_sensitivity"": [""Early retirement supplements"", ""offering early-retirement incentives"", ""raising/eliminating mandatory retirement""], ""policy_direction"": [], ""preferred_signs"": [""Early retirement supplements"", ""offering early-retirement incentives"", ""raising/eliminating mandatory retirement""], ""region_bucket"": [""private U.S. colleges (COFHE)"", ""U.S.""], ""time_decade"": [""employment observed as of December 31, 1975"", ""retirements during 1973–78"", ""pension plan details reported in 1979"", ""1989 for simulations""], ""unit_of_analysis"": [""retirement decisions of tenured male arts-and-sciences faculty""], ""demographics"": [""tenured male arts-and-sciences faculty"", ""mandatory retirement ages (65–70)""], ""text_surface_cues"": [""raising/eliminating mandatory retirement""]}","[""legacy ideology_preference string has no explicit sensitivity flag; preserved as missing""]",[]
legacy,3593,The Effects of Pensions and Retirement Policies on Retirement in Higher Education,american_economic_review,1991,Raising or abolishing mandatory retirement,Full-time work by older faculty,+,"This paper studies retirement decisions of tenured male arts-and-sciences faculty at 26 high-quality private U.S. colleges (COFHE) using employment observed as of December 31, 1975 and retirements during 1973–78, with pension plan details reported in 1979 (and 1989 for simulations). Institutional variation includes mandatory retirement ages (65–70), normal and early-retirement eligibility, pension accruals and early-retirement supplements, and Social Security rules. The authors estimate a structural life-cycle retirement model and use Monte Carlo simulations to predict effects of raising/eliminating mandatory retirement and offering early-retirement incentives.",3593|raising or abolishing mandatory retirement|full-time work by older faculty,,,unclear,,,"[""Developed""]","[""1970s"", ""1980s""]","[""personal_household""]",[],"[""male""]","[""65_plus""]","[""raising""]",[],"{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""private U.S. colleges (COFHE)"", ""U.S.""], ""time_decade"": [""employment observed as of December 31, 1975"", ""retirements during 1973–78"", ""pension plan details reported in 1979 (and 1989 for simulations)""], ""unit_of_analysis"": [""retirement decisions of tenured male arts-and-sciences faculty at 26 high-quality private U.S. colleges""], ""demographics"": [""tenured male arts-and-sciences faculty"", ""mandatory retirement ages (65–70)"", ""older faculty""], ""text_surface_cues"": [""predict effects of raising/eliminating mandatory retirement"", ""Raising or abolishing mandatory retirement""]}","[""legacy ideology_preference missing; preserved as missing""]",[]
legacy,3599,Is Inequality Harmful for Growth? Theory and Evidence,american_economic_review,1991,Income inequality,Per capita GDP growth,-,"Combining a politico‑economic growth model with empirical tests, the paper examines whether initial income inequality reduces subsequent per‑capita GDP growth. It uses two complementary data sets: a historical panel of nine now‑developed countries divided into 20‑year episodes covering primarily 1830–1970, and a post‑war cross‑section of about 67 countries over 1960–85. Units are country (or country‑period) observations; key covariates are pre‑period inequality (top‑20% share or top20/bottom40 ratio), schooling, franchise restrictions, and initial GDP per capita, exploiting cross‑country and over‑time variation in institutions and redistribution.",3599|income inequality|per capita gdp growth,,,unclear,,,"[""Developed""]","[""1830s"", ""1840s"", ""1850s"", ""1860s"", ""1870s"", ""1880s"", ""1890s"", ""1900s"", ""1910s"", ""1920s"", ""1930s"", ""1940s"", ""1950s"", ""1960s"", ""1970s"", ""1980s""]","[""government_country""]",[],[],[],"[""growth""]","[""reduces""]","{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""historical panel of nine now‑developed countries""], ""time_decade"": [""1830–1970"", ""1960–85""], ""unit_of_analysis"": [""Units are country (or country‑period) observations""], ""demographics"": [], ""text_surface_cues"": [""initial income inequality reduces subsequent per‑capita GDP growth"", ""growth""]}","[""legacy ideology_preference missing; preserved as missing""]",[]
legacy,3695,The Evolution of Buyout Pricing and Financial Structure,quarterly_journal_of_economics,1991,Higher buyout prices,Bank fraction of total debt,-,"This paper studies 124 large U.S. management leveraged buyouts (MBOs) completed 1980–1989. Using transaction-level data from SEC proxy/14D filings, Mergerstat, CRSP and Compustat, the authors analyze firm-level pricing, projected cash flows, and capital-structure terms (bank term loans and revolvers, subordinated public/private debt, deferred-interest instruments, principal schedules) within the 1980s LBO/junk-bond market and evolving bank loan-sales and interest-rate environment to assess how valuation and financing changed over the decade.",3695|higher buyout prices|bank fraction of total debt,,,unclear,,,"[""Developed""]","[""1980s""]","[""firm""]",[],[],[],"[""Higher""]",[],"{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""U.S. management leveraged buyouts (MBOs)""], ""time_decade"": [""completed 1980–1989""], ""unit_of_analysis"": [""firm-level pricing""], ""demographics"": [], ""text_surface_cues"": [""Higher buyout prices""]}","[""legacy ideology_preference missing; preserved as missing""]",[]
legacy,3695,The Evolution of Buyout Pricing and Financial Structure,quarterly_journal_of_economics,1991,Accelerated bank principal repayments,Cash flow to total debt obligations,-,"This triplet concerns a subset of the paper's sample: 90 of the 124 U.S. management leveraged buyouts (MBOs) completed 1980–1989 that report bank principal repayment schedules. The analysis focuses on required principal repayments in the first two post-buyout years, documenting a sharp rise (notably between 1985 and 1986) and comparing cash-flow coverages (net cash flow and EBITDA relative to total cash obligations) across periods (pre-1986 vs. 1986–1988).",3695|accelerated bank principal repayments|cash flow to total debt obligations,,,unclear,,,"[""Developed""]","[""1980s""]","[""firm""]",[],[],[],"[""sharp rise"", ""rise"", ""Accelerated""]",[],"{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""U.S. management leveraged buyouts (MBOs)""], ""time_decade"": [""1980–1989"", ""1985"", ""1986"", ""1986–1988"", ""pre-1986""], ""unit_of_analysis"": [""management leveraged buyouts (MBOs)"", ""buyouts""], ""demographics"": [], ""text_surface_cues"": [""sharp rise"", ""rise (notably between 1985 and 1986)"", ""Accelerated bank principal repayments""]}","[""legacy ideology_preference missing; preserved as missing""]",[]
legacy,4138,Do Gasoline Prices Respond Asymmetrically to Crude Oil Price Changes?,quarterly_journal_of_economics,1992,Crude oil price increase,Retail gasoline price,+,"This empirical study examines asymmetric transmission of crude oil price changes to gasoline prices using weekly and semi‑monthly data from January 1986–December 1990. It covers U.S. markets east of the Rocky Mountains (WTI crude, Gulf Coast/New York spot gasoline, city terminal branded/unbranded prices averaged across ~17 cities, and retail unleaded regular self‑service averages from 42 cities). Units are market prices at different stages of the refinery–terminal–retail distribution chain. The paper evaluates inventory‑cost and imperfect‑competition explanations using error‑correction/time‑series analysis.",4138|crude oil price increase|retail gasoline price,,non_sensitive,unclear,,,"[""Developed""]","[""1980s"", ""1990s""]",[],[],[],[],"[""increase""]",[],"{""ideology_sensitivity"": [""treatment: Crude oil price increase"", ""outcome: Retail gasoline price""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Crude oil price increase"", ""outcome: Retail gasoline price""], ""region_bucket"": [""U.S. markets east of the Rocky Mountains""], ""time_decade"": [""January 1986–December 1990""], ""unit_of_analysis"": [""Units are market prices at different stages of the refinery–terminal–retail distribution chain""], ""demographics"": [], ""text_surface_cues"": [""treatment contains 'Crude oil price increase'""]}",[],[]
legacy,25331,Reshaping Adolescents' Gender Attitudes: Evidence from a School-Based Experiment in India,american_economic_review,2018,School-based gender-equality program,Marriage and fertility aspirations,+,"This randomized evaluation studies cohorts of students who were in grades 6–7 at baseline (2013–14) in government secondary schools in four districts of Haryana, India. Breakthrough implemented a 27‑session, school-based gender‑equality curriculum from April 2014 to October 2016; the authors randomized 314 schools (150 treatment) and surveyed ~14,800 students (and a 40% parent subsample) at baseline, a first endline in late 2016–early 2017 and a second endline in 2019 to measure impacts on gender attitudes, aspirations, and self‑reported behaviors.",25331|school-based gender-equality program|marriage and fertility aspirations,,,unclear,,,"[""Developing""]","[""2010s""]","[""personal_household""]",[],[],[],[],[],"{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""Haryana, India"", ""India""], ""time_decade"": [""grades 6–7 at baseline (2013–14)"", ""April 2014 to October 2016"", ""first endline in late 2016–early 2017"", ""second endline in 2019""], ""unit_of_analysis"": [""students"", ""randomized 314 schools (150 treatment)"", ""surveyed ~14,800 students""], ""demographics"": [""Adolescents"", ""students who were in grades 6–7 at baseline"", ""a 40% parent subsample""], ""text_surface_cues"": []}","[""legacy ideologically_sensitive flag missing; preserved as missing""]",[]
legacy,6863,In a World Without Borders:  The Impact of Taxes on Internet Commerce,quarterly_journal_of_economics,1998,Applying existing local sales taxes to Internet sales,Number of online buyers,-,"This paper uses late‑1997 Forrester/NPD survey data on roughly 25,000 U.S. Internet users (and ≈40,000 computer owners) across about 351 city–state locations to estimate how local retail sales tax rates affect individual online purchasing and spending. The institutional setting is U.S. state and metropolitan sales tax variation (including cross‑state metro borders) at a time when out‑of‑state vendors generally did not collect use tax. The unit of analysis is individuals (online users and computer buyers), exploiting geographic tax variation to identify effects.",6863|applying existing local sales taxes to internet sales|number of online buyers,,,unclear,,,"[""Developed""]","[""1990s""]","[""personal_household""]",[],[],[],[],[],"{""ideology_sensitivity"": [""treatment: Applying existing local sales taxes to Internet sales""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Applying existing local sales taxes to Internet sales""], ""region_bucket"": [""U.S. Internet users"", ""The institutional setting is U.S. state and metropolitan sales tax variation""], ""time_decade"": [""late-1997 Forrester/NPD survey data""], ""unit_of_analysis"": [""The unit of analysis is individuals (online users and computer buyers)""], ""demographics"": [""roughly 25,000 U.S. Internet users (and ≈40,000 computer owners)"", ""individuals (online users and computer buyers)""], ""text_surface_cues"": []}","[""legacy ideologically_sensitive flag missing; preserved as missing""]",[]
legacy,9775,Judicial Checks and Balances,journal_of_political_economy,2003,Judicial independence,Government ownership of banks,-,"This paper studies 71 non-transition countries (sample based on Maddex 1995), relating constitutional provisions — judicial independence (tenure of supreme and administrative judges, case law) and constitutional review (rigidity, judicial review) — to mid-1990s measures of economic and political freedom (property rights c.1997, business entry procedures, employment regulation, government bank ownership c.1995, democracy and human/political rights mid-1990s). Units are countries; identification leverages persistent constitutional variation, legal origins, former-colony subsamples, and controls for latitude, ethnolinguistic fractionalization, and GDP per capita.",9775|judicial independence|government ownership of banks,,ideology_sensitive,unclear,+,-,[],"[""1990s""]","[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [""government bank ownership"", ""measures of economic and political freedom (property rights, business entry procedures, employment regulation)""], ""policy_direction"": [], ""preferred_signs"": [""government bank ownership"", ""measures of economic and political freedom (property rights, business entry procedures, employment regulation)""], ""region_bucket"": [""71 non-transition countries (sample based on Maddex 1995)"", ""former-colony subsamples""], ""time_decade"": [""mid-1990s"", ""property rights c.1997"", ""government bank ownership c.1995"", ""democracy and human/political rights mid-1990s""], ""unit_of_analysis"": [""Units are countries""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,14352,Fetal Exposure to Toxic Releases and Infant Health,american_economic_review,2008,Fugitive air releases,Birth weight,-,"Using U.S. data from roughly 1988–1999, the paper matches the EPA’s Toxic Release Inventory (TRI) to national Vital Statistics Natality and Mortality files to estimate effects of prenatal exposure to airborne toxic releases on gestation, birth weight, and infant mortality. Analyses aggregate January (and Jan–Mar for rare outcomes) births to identified U.S. counties (covering ~75% of births), exploit within-county year-to-year variation in reported fugitive versus stack air emissions, and compare chemicals labeled as developmental toxicants to other chemicals.",14352|fugitive air releases|birth weight,,non_sensitive,unclear,,,"[""Developed""]","[""1980s"", ""1990s""]","[""personal_household""]",[],[],"[""0_15""]",[],[],"{""ideology_sensitivity"": [""study examines prenatal exposure to airborne toxic releases on birth weight (no ideological framing or policy stance stated in text)""], ""policy_direction"": [], ""preferred_signs"": [""study examines prenatal exposure to airborne toxic releases on birth weight (no ideological framing or policy stance stated in text)""], ""region_bucket"": [""Using U.S. data""], ""time_decade"": [""roughly 1988–1999""], ""unit_of_analysis"": [""aggregate January (and Jan–Mar for rare outcomes) births to identified U.S. counties"", ""estimate effects of prenatal exposure ... on gestation, birth weight, and infant mortality""], ""demographics"": [""infant mortality"", ""birth weight""], ""text_surface_cues"": []}",[],[]
