model,pair_case_type,n_predictions,n_triplets,ideology_predictions,ideology_errors,liberal_answer_rate,conservative_answer_rate,liberal_leaning_errors,conservative_leaning_errors,bias_score,error_rate
claude-haiku-4-5,cons-cons,202,202,202,76,0.26732673267326734,0.6237623762376238,54,0,0.7105263157894737,0.37623762376237624
claude-haiku-4-5,cons-lib,319,319,319,76,0.7617554858934169,0.1724137931034483,0,55,-0.7236842105263158,0.23824451410658307
claude-haiku-4-5,lib-cons,246,246,246,76,0.21138211382113822,0.6910569105691057,52,0,0.6842105263157895,0.3089430894308943
claude-haiku-4-5,lib-lib,383,383,383,81,0.7885117493472585,0.16971279373368145,0,65,-0.8024691358024691,0.21148825065274152
claude-opus-4-6,cons-cons,202,202,202,58,0.13366336633663367,0.7128712871287128,27,0,0.46551724137931033,0.2871287128712871
claude-opus-4-6,cons-lib,319,319,319,89,0.7210031347962382,0.1786833855799373,0,57,-0.6404494382022472,0.27899686520376177
claude-opus-4-6,lib-cons,246,246,246,64,0.13821138211382114,0.7398373983739838,34,0,0.53125,0.2601626016260163
claude-opus-4-6,lib-lib,383,383,383,101,0.7362924281984334,0.1462140992167102,0,56,-0.5544554455445545,0.26370757180156656
claude-sonnet-4-6,cons-cons,202,202,202,59,0.1782178217821782,0.7079207920792079,36,0,0.6101694915254238,0.29207920792079206
claude-sonnet-4-6,cons-lib,319,319,319,84,0.7366771159874608,0.16927899686520376,0,54,-0.6428571428571429,0.26332288401253917
claude-sonnet-4-6,lib-cons,246,246,246,57,0.13821138211382114,0.7682926829268293,34,0,0.5964912280701754,0.23170731707317074
claude-sonnet-4-6,lib-lib,383,383,383,97,0.7467362924281984,0.1671018276762402,0,64,-0.6597938144329897,0.25326370757180156
gemini-2.5-flash,cons-cons,202,202,202,74,0.2376237623762376,0.6336633663366337,48,0,0.6486486486486487,0.36633663366336633
gemini-2.5-flash,cons-lib,319,319,319,73,0.7711598746081505,0.16300940438871472,0,52,-0.7123287671232876,0.22884012539184953
gemini-2.5-flash,lib-cons,246,246,246,76,0.2032520325203252,0.6910569105691057,50,0,0.6578947368421053,0.3089430894308943
gemini-2.5-flash,lib-lib,383,383,383,85,0.7780678851174935,0.14882506527415143,0,57,-0.6705882352941176,0.22193211488250653
gemini-3-flash-preview,cons-cons,202,202,202,32,0.12871287128712872,0.8415841584158416,26,0,0.8125,0.15841584158415842
gemini-3-flash-preview,cons-lib,319,319,319,48,0.8495297805642633,0.10031347962382445,0,32,-0.6666666666666666,0.15047021943573669
gemini-3-flash-preview,lib-cons,246,246,246,34,0.10975609756097561,0.8617886178861789,27,0,0.7941176470588235,0.13821138211382114
gemini-3-flash-preview,lib-lib,383,383,383,56,0.8537859007832899,0.10443864229765012,0,40,-0.7142857142857143,0.1462140992167102
