case_id,example_displayed_sign,example_exact_jel_codes,example_false_side,example_original_sign,example_outcome,example_overlap_ratio,example_paper_id,example_treatment,example_true_side,jel_overlap_ratio,jel_similarity,matching_rule,pair_case_type,selection_score,shared_exact_jel_codes,shared_exact_jel_count,target_exact_jel_codes,target_exact_jel_count,target_outcome,target_paper_id,target_side,target_sign,target_treatment,task_name,union_exact_jel_count,variant
task2_jel_similarity_side_capped_jel_similarity_000001,None,"[""J3""]",conservative,None,Fringe benefits,1.0,4509,Minimum wage increase,liberal,0.5,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""J3""]",1,"[""J2"", ""J3""]",2,Relative weekly wage of high school dropouts,3761,liberal,-,Trade and immigration flows,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000002,+,"[""J2"", ""G2"", ""O1"", ""J3"", ""O43"", ""H8""]",liberal,+,Firm exit rate,0.3333,30057,Banks for All program,conservative,1.0,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""J2"", ""J3""]",2,"[""J2"", ""J3""]",2,Relative weekly wage of high school dropouts,3761,liberal,-,Trade and immigration flows,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000003,+,"[""G32"", ""E22"", ""G33""]",conservative,+,output-weighted productivity,0.6667,23515,Bankruptcy law change (fresh start),liberal,1.0,0.6667,jaccard_jel_similarity,lib-lib,0.6667,"[""G32"", ""G33""]",2,"[""G32"", ""G33""]",2,Bankruptcy probability,3942,liberal,+,Number of public debt issues (debt complexity),task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000004,-,"[""G32"", ""E22"", ""G33""]",liberal,-,Average incumbent firm size,0.6667,23515,Fresh start bankruptcy reform,conservative,1.0,0.6667,jaccard_jel_similarity,cons-lib,0.6667,"[""G32"", ""G33""]",2,"[""G32"", ""G33""]",2,Bankruptcy probability,3942,liberal,+,Number of public debt issues (debt complexity),task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000005,-,"[""R12"", ""N34"", ""O18""]",liberal,-,Residence employment,0.3333,20354,Division of Berlin,conservative,0.5,0.25,jaccard_jel_similarity,cons-lib,0.25,"[""N34""]",1,"[""N14"", ""N34""]",2,Aggregate unemployment,3980,liberal,+,Cross-section variation in industry excess returns,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000006,-,"[""L11"", ""N84"", ""L25"", ""G28"", ""N14"", ""N24"", ""E44"", ""G21"", ""E24""]",conservative,-,Opaque borrower growth,0.1111,28767,Increase in bank size,liberal,0.5,0.1,jaccard_jel_similarity,lib-lib,0.1,"[""N14""]",1,"[""N14"", ""N34""]",2,Aggregate unemployment,3980,liberal,+,Cross-section variation in industry excess returns,task2,10,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000007,+,"[""G31"", ""G32"", ""O16"", ""O30""]",liberal,+,Patent quantity and originality,0.25,19708,Completing IPO after withdrawal,conservative,0.5,0.2,jaccard_jel_similarity,cons-lib,0.2,"[""O30""]",1,"[""H54"", ""O30""]",2,Productivity growth,3981,liberal,+,Public infrastructure investment,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000008,+,"[""C65"", ""O30""]",conservative,+,Clean research effort,0.5,20743,Carbon taxes,liberal,0.5,0.3333,jaccard_jel_similarity,lib-lib,0.3333,"[""O30""]",1,"[""H54"", ""O30""]",2,Productivity growth,3981,liberal,+,Public infrastructure investment,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000009,+,"[""G31"", ""G32"", ""O16"", ""O30""]",liberal,+,Patent quantity and originality,0.25,19708,Completing IPO after withdrawal,conservative,0.5,0.2,jaccard_jel_similarity,cons-lib,0.2,"[""O30""]",1,"[""H54"", ""O30""]",2,Productivity growth,3981,liberal,-,Sluggish public capital investment relative to output,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000010,+,"[""C65"", ""O30""]",conservative,+,Clean research effort,0.5,20743,Carbon taxes,liberal,0.5,0.3333,jaccard_jel_similarity,lib-lib,0.3333,"[""O30""]",1,"[""H54"", ""O30""]",2,Productivity growth,3981,liberal,-,Sluggish public capital investment relative to output,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000011,-,"[""H25"", ""H71"", ""H73""]",liberal,-,Number of corporate establishments,0.3333,21534,State corporate income tax increase,conservative,1.0,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""H71""]",1,"[""H71""]",1,Incumbent defeat probability,4041,liberal,-,Neighbors' tax increase,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000012,+,"[""R13"", ""H71"", ""E6"", ""F12""]",conservative,+,Share of establishments,0.25,21760,Government spending,liberal,1.0,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""H71""]",1,"[""H71""]",1,Incumbent defeat probability,4041,liberal,-,Neighbors' tax increase,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000013,-,"[""H25"", ""H71"", ""H73""]",liberal,-,Number of corporate establishments,0.3333,21534,State corporate income tax increase,conservative,1.0,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""H71""]",1,"[""H71""]",1,State tax change,4041,liberal,+,Neighbors' tax increase,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000014,+,"[""R13"", ""H71"", ""E6"", ""F12""]",conservative,+,Share of establishments,0.25,21760,Government spending,liberal,1.0,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""H71""]",1,"[""H71""]",1,State tax change,4041,liberal,+,Neighbors' tax increase,task2,4,side_capped_jel_similarity
